Phrase,Severity Score
I have a slight headache,1
My headache is quite slight,3
I have a minor headache,3
My headache is quite minor,2
I have a mild headache,2
My headache is quite mild,1
I have a a little bit of headache,2
My headache is quite a little bit of,3
I have a occasional headache,3
My headache is quite occasional,2
I have a small headache,1
My headache is quite small,3
I have unbearable headache,10
This headache is unbearable,10
I can't stand this unbearable headache,9
I have severe headache,9
This headache is severe,8
I can't stand this severe headache,9
I have crushing headache,9
This headache is crushing,10
I can't stand this crushing headache,9
I have extreme headache,8
This headache is extreme,10
I can't stand this extreme headache,10
I have constant headache,9
This headache is constant,9
I can't stand this constant headache,9
I have intense headache,10
This headache is intense,10
I can't stand this intense headache,10
I have sharp headache,8
This headache is sharp,8
I can't stand this sharp headache,9
I have a slight fever,1
My fever is quite slight,1
I have a minor fever,2
My fever is quite minor,3
I have a mild fever,3
My fever is quite mild,2
I have a a little bit of fever,2
My fever is quite a little bit of,1
I have a occasional fever,1
My fever is quite occasional,2
I have a small fever,3
My fever is quite small,1
I have unbearable fever,8
This fever is unbearable,10
I can't stand this unbearable fever,10
I have severe fever,9
This fever is severe,10
I can't stand this severe fever,9
I have crushing fever,9
This fever is crushing,9
I can't stand this crushing fever,10
I have extreme fever,8
This fever is extreme,10
I can't stand this extreme fever,9
I have constant fever,8
This fever is constant,10
I can't stand this constant fever,9
I have intense fever,8
This fever is intense,10
I can't stand this intense fever,10
I have sharp fever,8
This fever is sharp,9
I can't stand this sharp fever,10
I have a slight stomach pain,2
My stomach pain is quite slight,1
I have a minor stomach pain,3
My stomach pain is quite minor,1
I have a mild stomach pain,2
My stomach pain is quite mild,1
I have a a little bit of stomach pain,2
My stomach pain is quite a little bit of,2
I have a occasional stomach pain,1
My stomach pain is quite occasional,3
I have a small stomach pain,3
My stomach pain is quite small,1
I have unbearable stomach pain,10
This stomach pain is unbearable,9
I can't stand this unbearable stomach pain,9
I have severe stomach pain,9
This stomach pain is severe,9
I can't stand this severe stomach pain,9
I have crushing stomach pain,10
This stomach pain is crushing,10
I can't stand this crushing stomach pain,10
I have extreme stomach pain,9
This stomach pain is extreme,10
I can't stand this extreme stomach pain,10
I have constant stomach pain,9
This stomach pain is constant,8
I can't stand this constant stomach pain,10
I have intense stomach pain,10
This stomach pain is intense,8
I can't stand this intense stomach pain,9
I have sharp stomach pain,8
This stomach pain is sharp,8
I can't stand this sharp stomach pain,9
I have a slight cough,3
My cough is quite slight,3
I have a minor cough,1
My cough is quite minor,2
I have a mild cough,1
My cough is quite mild,3
I have a a little bit of cough,3
My cough is quite a little bit of,2
I have a occasional cough,2
My cough is quite occasional,3
I have a small cough,2
My cough is quite small,1
I have unbearable cough,10
This cough is unbearable,8
I can't stand this unbearable cough,9
I have severe cough,8
This cough is severe,9
I can't stand this severe cough,10
I have crushing cough,9
This cough is crushing,9
I can't stand this crushing cough,10
I have extreme cough,9
This cough is extreme,8
I can't stand this extreme cough,9
I have constant cough,9
This cough is constant,8
I can't stand this constant cough,9
I have intense cough,8
This cough is intense,9
I can't stand this intense cough,10
I have sharp cough,8
This cough is sharp,10
I can't stand this sharp cough,9
I have a slight body pain,1
My body pain is quite slight,3
I have a minor body pain,3
My body pain is quite minor,1
I have a mild body pain,3
My body pain is quite mild,3
I have a a little bit of body pain,2
My body pain is quite a little bit of,3
I have a occasional body pain,3
My body pain is quite occasional,1
I have a small body pain,2
My body pain is quite small,1
I have unbearable body pain,8
This body pain is unbearable,10
I can't stand this unbearable body pain,9
I have severe body pain,8
This body pain is severe,9
I can't stand this severe body pain,10
I have crushing body pain,8
This body pain is crushing,8
I can't stand this crushing body pain,9
I have extreme body pain,9
This body pain is extreme,9
I can't stand this extreme body pain,9
I have constant body pain,8
This body pain is constant,10
I can't stand this constant body pain,9
I have intense body pain,9
This body pain is intense,9
I can't stand this intense body pain,10
I have sharp body pain,8
This body pain is sharp,9
I can't stand this sharp body pain,10
